版本,Bug数量,Bug分级个数,DI
phenix-2021-08-28-sz-test,1,{'一般': 1},1.0
phenix-2021--8-14-sz-test-diplo,1,{'不相关': 1},0.0
phenix-2021-09--11-sz-test-cj,2,{'不相关': 2},0.0
phenix-2021-09--26-sz-test-cj,1,{'严重': 1},3.0
phenix-2021-09-11-sz-test,1,{'一般': 1},1.0
phenix-2021-08-29-sg,17,"{'不相关': 16, '严重': 1}",3.0
phenix-2021-08-29-sz-test,11,"{'不相关': 10, '致命': 1}",10.0
phenix-2021-08-26-sz-test,18,{'不相关': 18},0.0
phenix-2021-08-14-sz-test-diplo,19,"{'不相关': 17, '严重': 2}",6.0
phenix-2021-08-11-sz-test-diplo,28,"{'不相关': 23, '严重': 5}",15.0
phenix-2021-08-09,29,"{'不相关': 24, '严重': 4, '一般': 1}",13.0
phenix-2021-09-08-sz-test,26,"{'不相关': 22, '一般': 1, '严重': 2, '致命': 1}",17.0
phenix-2021-09-14-jp-prod,10,"{'不相关': 7, '一般': 2, '致命': 1}",12.0
phenix-2021-10--25-sz-test,1,{'严重': 1},3.0
phenix-2021-08-23-sz-test,32,"{'不相关': 31, '严重': 1}",3.0
phenix-2021-10-13-sz-test,1,{'严重': 1},3.0
phenix-2021-10-14-sz-test,1,{'不相关': 1},0.0
phenix-2021-09-01-sz-test,36,"{'不相关': 28, '严重': 7, '提示': 1}",21.1
phenix-2021-08-17-sz-test,38,"{'不相关': 37, '严重': 1}",3.0
phenix-2021-10-16-sz-test,4,"{'一般': 1, '严重': 2, '不相关': 1}",7.0
phenix-2021-10-19sz-test,1,{'不相关': 1},0.0
phenix-2021-10-21sz_test,1,{'不相关': 1},0.0
phenix-2021-09-18-sz-test,22,"{'不相关': 17, '一般': 5}",5.0
phenix-2021-10-27sz-tes,1,{'严重': 1},3.0
phenix-2021-10-08-sz-test,12,"{'不相关': 8, '致命': 1, '一般': 2, '严重': 1}",15.0
phenix-2021-10-25-sz-test,6,"{'不相关': 5, '致命': 1}",10.0
phenix-2021-11-05-sz-test,3,"{'严重': 1, '不相关': 2}",3.0
phenix-2021-10-04-sz-test,18,"{'不相关': 16, '一般': 2}",2.0
phenix-2021-10-10-sz-test,17,"{'不相关': 13, '致命': 2, '一般': 1, '严重': 1}",24.0
phenix-2021-10-27-sz-test,7,"{'致命': 2, '不相关': 3, '严重': 2}",26.0
phenix-2021-10-29cj_local,13,"{'致命': 2, '不相关': 9, '严重': 2}",26.0
phenix-2021-09-11-sz-test-cj,50,"{'不相关': 35, '一般': 6, '严重': 6, '致命': 3}",54.0
phenix-2021-09-15-sz-test,49,"{'不相关': 35, '一般': 9, '致命': 2, '严重': 3}",38.0
phenix-2021-10-14-sz-test-local,48,"{'不相关': 16, '致命': 17, '严重': 13, '一般': 2}",211.0
