版本,Bug数量,Bug分级个数,DI
phenix-2021-08-28-sz-test,1,{'一般': 1},1.0
phenix-2021--8-14-sz-test-diplo,1,{'致命': 1},10.0
phenix-2021-09--11-sz-test-cj,2,{'严重': 2},6.0
phenix-2021-09--26-sz-test-cj,1,{'严重': 1},3.0
phenix-2021-09-11-sz-test,1,{'一般': 1},1.0
phenix-2021-08-29-sg,17,"{'不相关': 13, '严重': 2, '一般': 1, '致命': 1}",17.0
phenix-2021-08-29-sz-test,11,"{'不相关': 3, '致命': 4, '严重': 3, '一般': 1}",50.0
phenix-2021-08-26-sz-test,18,"{'不相关': 1, '一般': 3, '严重': 7, '致命': 6, '提示': 1}",84.1
phenix-2021-08-14-sz-test-diplo,19,"{'不相关': 1, '一般': 4, '严重': 12, '致命': 2}",60.0
phenix-2021-08-11-sz-test-diplo,28,"{'不相关': 6, '致命': 2, '一般': 5, '严重': 14, '提示': 1}",67.1
phenix-2021-09-08-sz-test,26,"{'不相关': 2, '严重': 9, '致命': 10, '一般': 5}",132.0
phenix-2021-08-09,29,"{'不相关': 8, '严重': 17, '一般': 4}",55.0
phenix-2021-09-14-jp-prod,10,"{'严重': 4, '一般': 5, '致命': 1}",27.0
phenix-2021-10--25-sz-test,1,{'严重': 1},3.0
phenix-2021-08-23-sz-test,32,"{'不相关': 1, '严重': 17, '致命': 11, '一般': 1, '提示': 2}",162.2
phenix-2021-10-13-sz-test,1,{'严重': 1},3.0
phenix-2021-10-14-sz-test,1,{'一般': 1},1.0
phenix-2021-09-01-sz-test,36,"{'不相关': 6, '严重': 16, '一般': 12, '提示': 1, '致命': 1}",70.1
phenix-2021-08-17-sz-test,38,"{'不相关': 15, '致命': 9, '严重': 12, '提示': 2}",126.2
phenix-2021-10-16-sz-test,4,"{'一般': 1, '严重': 2, '致命': 1}",17.0
phenix-2021-10-19sz-test,1,{'严重': 1},3.0
phenix-2021-10-21sz_test,1,{'一般': 1},1.0
phenix-2021-09-18-sz-test,22,"{'不相关': 2, '致命': 4, '一般': 12, '严重': 4}",64.0
phenix-2021-10-08-sz-test,12,"{'致命': 4, '严重': 4, '一般': 3, '提示': 1}",55.1
phenix-2021-10-27sz-tes,1,{'严重': 1},3.0
phenix-2021-10-25-sz-test,6,"{'严重': 4, '致命': 2}",32.0
phenix-2021-10-10-sz-test,17,"{'严重': 7, '一般': 6, '致命': 4}",67.0
phenix-2021-11-05-sz-test,3,"{'严重': 1, '一般': 1, '提示': 1}",4.1
phenix-2021-10-04-sz-test,18,"{'不相关': 2, '致命': 5, '一般': 6, '严重': 5}",71.0
phenix-2021-10-27-sz-test,7,"{'致命': 2, '一般': 1, '提示': 1, '严重': 3}",30.1
phenix-2021-10-29cj_local,13,"{'致命': 4, '严重': 6, '一般': 2, '提示': 1}",60.1
phenix-2021-09-11-sz-test-cj,50,"{'不相关': 1, '一般': 17, '严重': 21, '提示': 2, '致命': 9}",170.2
phenix-2021-09-15-sz-test,49,"{'不相关': 2, '一般': 23, '致命': 9, '严重': 15}",158.0
phenix-2021-10-14-sz-test-local,48,"{'致命': 24, '严重': 20, '一般': 4}",304.0
